Code,Market Code,Name,Date,Type,Qty,Price,Instrument Currency,Cost Base Per Share (aud),Brokerage,Brokerage Currency,Exch. Rate,Value,Unnamed_13
,,,,,,,,,,,,,
UAVS,AMEX,AgEagle Aerial Systems Inc.,2014-01-02,Buy,162.58,0.55,USD,,0.0,AUD,0.8942,100.0,
UAVS,AMEX,AgEagle Aerial Systems Inc.,2014-06-02,Consolidation,-151.0,,USD,,,AUD,,,
STXS,AMEX,Stereotaxis Inc,2016-02-11,Buy,87.34,0.7999,USD,,0.0,AUD,0.698625878256544,100.0,
UAVS,AMEX,AgEagle Aerial Systems Inc.,2018-03-26,Consolidation,-11.0,,USD,,,AUD,,,
STXS,AMEX,Stereotaxis Inc,2019-01-11,Sell,-87.34,1.23,USD,,0.0,USD,0.660296055489749,-162.7,
UAVS,AMEX,AgEagle Aerial Systems Inc.,2024-10-15,Consolidation,-0.57,,USD,,,AUD,,,
CDD,ASX,Cardno Limited,2004-06-03,Buy,67.117,1.49,AUD,,0.0,AUD,1.0,100.0,
RUL,ASX,Rpmglobal Hldgs Ltd,2008-05-27,Buy,84.74,1.18,AUD,,0.0,AUD,1.0,99.99,
VRS,ASX,Veris Ltd,2011-12-11,Buy,625.0,0.16,AUD,,0.0,AUD,1.0,100.0,
NEA,ASX,Nearmap Ltd,2012-11-01,Buy,2857.0,0.035,AUD,,0.0,AUD,1.0,100.0,
CAT,ASX,Catapult Sports Ltd,2014-12-14,Buy,170.94,0.585,AUD,,0.0,AUD,1.0,100.0,
DRO,ASX,Droneshield Limited,2016-01-22,Buy,312.5,0.32,AUD,,0.0,AUD,1.0,100.0,
3DP,ASX,Pointerra Limited,2016-07-12,Buy,2500.0,0.04,AUD,,0.0,AUD,1.0,100.0,
IKE,ASX,Ikegps Group Ltd,2016-11-01,Buy,246.91,0.405,AUD,,0.0,AUD,1.0,100.0,
VR1,ASX,Vection Technologies,2017-03-17,Buy,476.2,0.21,AUD,,0.0,AUD,1.0,100.0,
RKT,ASX,Rocketdna Ltd.,2018-06-22,Buy,487.8,0.205,AUD,,0.0,AUD,1.0,100.0,
